room,time,outcome,sale
1,16,90,-0.0
1,16,91,-0.0
1,16,92,-0.0
1,16,93,-0.0
1,16,94,-0.0
1,16,95,-0.0
1,16,96,-0.0
1,16,97,-0.0
1,16,98,-0.0
1,16,99,-0.0
1,16,100,-0.0
1,16,101,-0.0
1,17,1,-0.0
1,17,2,-0.0
1,17,3,-0.0
1,17,4,-0.0
1,17,5,-0.0
1,17,6,-0.0
1,17,7,-0.0
1,17,8,-0.0
1,17,9,-0.0
1,17,10,-0.0
1,17,11,-0.0
1,17,12,-0.0
1,17,13,-0.0
1,17,14,-0.0
1,17,15,-0.0
1,17,16,-0.0
1,17,17,-0.0
1,17,18,-0.0
1,17,19,-0.0
1,17,20,-0.0
1,17,21,-0.0
1,17,22,-0.0
1,17,23,-0.0
1,17,24,-0.0
1,17,25,-0.0
1,17,26,-0.0
1,17,27,-0.0
1,17,28,-0.0
1,17,29,-0.0
1,17,30,-0.0
1,17,31,-0.0
1,17,32,31.0
1,17,33,32.0
1,17,34,33.0
1,17,35,34.0
1,17,36,35.0
1,17,37,36.0
1,17,38,37.0
1,17,39,38.0
1,17,40,39.0
1,17,41,40.0
1,17,42,41.0
1,17,43,42.0
1,17,44,43.0
1,17,45,44.0
1,17,46,45.0
1,17,47,46.0
1,17,48,47.0
1,17,49,48.0
1,17,50,49.0
1,17,51,50.0
1,17,52,51.0
1,17,53,52.0
1,17,54,53.0
1,17,55,54.0
1,17,56,55.0
1,17,57,56.0
1,17,58,57.0
1,17,59,58.0
1,17,60,59.0
1,17,61,60.0
1,17,62,61.0
1,17,63,62.0
1,17,64,63.0
1,17,65,64.0
1,17,66,65.0
1,17,67,66.0
1,17,68,67.0
1,17,69,68.0
1,17,70,69.0
1,17,71,70.0
1,17,72,71.0
1,17,73,72.0
1,17,74,73.0
1,17,75,74.0
1,17,76,75.0
1,17,77,76.0
1,17,78,77.0
1,17,79,78.0
1,17,80,79.0
1,17,81,80.0
1,17,82,81.0
1,17,83,82.0
1,17,84,83.0
1,17,85,84.0
1,17,86,85.0
1,17,87,86.0
1,17,88,87.0
1,17,89,-0.0
1,17,90,-0.0
1,17,91,-0.0
1,17,92,-0.0
1,17,93,-0.0
1,17,94,-0.0
1,17,95,-0.0
1,17,96,-0.0
1,17,97,-0.0
1,17,98,-0.0
1,17,99,-0.0
1,17,100,-0.0
1,17,101,-0.0
1,18,1,-0.0
1,18,2,-0.0
1,18,3,-0.0
1,18,4,-0.0
1,18,5,-0.0
1,18,6,-0.0
1,18,7,-0.0
1,18,8,-0.0
1,18,9,-0.0
1,18,10,-0.0
1,18,11,-0.0
1,18,12,-0.0
1,18,13,-0.0
1,18,14,-0.0
1,18,15,-0.0
1,18,16,-0.0
1,18,17,-0.0
1,18,18,-0.0
1,18,19,-0.0
1,18,20,-0.0
1,18,21,-0.0
1,18,22,-0.0
1,18,23,-0.0
1,18,24,-0.0
1,18,25,-0.0
1,18,26,-0.0
1,18,27,-0.0
1,18,28,-0.0
1,18,29,-0.0
1,18,30,-0.0
1,18,31,-0.0
1,18,32,31.0
1,18,33,32.0
1,18,34,33.0
1,18,35,34.0
1,18,36,35.0
1,18,37,36.0
1,18,38,37.0
1,18,39,38.0
1,18,40,39.0
1,18,41,40.0
1,18,42,41.0
1,18,43,42.0
1,18,44,43.0
1,18,45,44.0
1,18,46,45.0
1,18,47,46.0
1,18,48,47.0
1,18,49,48.0
1,18,50,49.0
1,18,51,50.0
1,18,52,51.0
1,18,53,52.0
1,18,54,53.0
1,18,55,54.0
1,18,56,55.0
1,18,57,56.0
1,18,58,57.0
1,18,59,58.0
1,18,60,59.0
1,18,61,60.0
1,18,62,61.0
1,18,63,62.0
